loaded 1891 documents
121 batches
batch 1/121 ok | docs=0.0 chunks=0.0 | 1s elapsed
batch 55/121 ok | docs=648.0 chunks=18198.0 | 125s elapsed
batch 56/121 ok | docs=651.0 chunks=18482.0 | 126s elapsed
batch 57/121 ok | docs=654.0 chunks=18737.0 | 127s elapsed
batch 58/121 ok | docs=665.0 chunks=18814.0 | 129s elapsed
batch 59/121 ok | docs=668.0 chunks=19177.0 | 130s elapsed
batch 60/121 ok | docs=669.0 chunks=19228.0 | 130s elapsed
batch 61/121 ok | docs=670.0 chunks=19535.0 | 131s elapsed
batch 62/121 ok | docs=685.0 chunks=19812.0 | 133s elapsed
batch 63/121 ok | docs=705.0 chunks=20081.0 | 135s elapsed
batch 64/121 ok | docs=717.0 chunks=20374.0 | 137s elapsed
batch 65/121 ok | docs=743.0 chunks=20599.0 | 141s elapsed
batch 66/121 ok | docs=770.0 chunks=20819.0 | 143s elapsed
batch 67/121 ok | docs=788.0 chunks=21011.0 | 145s elapsed
batch 68/121 ok | docs=813.0 chunks=21241.0 | 149s elapsed
batch 69/121 ok | docs=846.0 chunks=21551.0 | 152s elapsed
batch 70/121 ok | docs=872.0 chunks=21939.0 | 155s elapsed
batch 71/121 ok | docs=898.0 chunks=22285.0 | 158s elapsed
batch 72/121 ok | docs=930.0 chunks=22628.0 | 161s elapsed
batch 73/121 ok | docs=957.0 chunks=22877.0 | 164s elapsed
batch 74/121 ok | docs=988.0 chunks=23176.0 | 167s elapsed
batch 75/121 ok | docs=1017.0 chunks=23427.0 | 170s elapsed
batch 76/121 ok | docs=1050.0 chunks=23723.0 | 173s elapsed
batch 77/121 ok | docs=1088.0 chunks=24002.0 | 177s elapsed
batch 78/121 ok | docs=1124.0 chunks=24299.0 | 182s elapsed
batch 79/121 ok | docs=1162.0 chunks=24556.0 | 185s elapsed
batch 80/121 ok | docs=1201.0 chunks=24804.0 | 189s elapsed
batch 81/121 ok | docs=1220.0 chunks=25052.0 | 191s elapsed
batch 82/121 ok | docs=1253.0 chunks=25317.0 | 195s elapsed
batch 83/121 ok | docs=1282.0 chunks=25546.0 | 198s elapsed
batch 84/121 ok | docs=1283.0 chunks=25959.0 | 198s elapsed
batch 85/121 ok | docs=1284.0 chunks=25967.0 | 199s elapsed
batch 86/121 ok | docs=1285.0 chunks=27661.0 | 202s elapsed
batch 87/121 ok | docs=1309.0 chunks=27922.0 | 205s elapsed
batch 88/121 ok | docs=1323.0 chunks=28157.0 | 207s elapsed
batch 89/121 ok | docs=1327.0 chunks=28372.0 | 209s elapsed
batch 90/121 ok | docs=1333.0 chunks=28599.0 | 211s elapsed
batch 91/121 ok | docs=1336.0 chunks=28641.0 | 212s elapsed
batch 92/121 ok | docs=1337.0 chunks=28901.0 | 213s elapsed
batch 93/121 ok | docs=1338.0 chunks=28906.0 | 214s elapsed
batch 94/121 ok | docs=1339.0 chunks=29033.0 | 214s elapsed
batch 95/121 ok | docs=1353.0 chunks=29219.0 | 217s elapsed
batch 96/121 ok | docs=1354.0 chunks=29337.0 | 217s elapsed
batch 97/121 ok | docs=1355.0 chunks=29510.0 | 218s elapsed
batch 98/121 ok | docs=1361.0 chunks=29729.0 | 219s elapsed
batch 99/121 ok | docs=1413.0 chunks=29975.0 | 224s elapsed
batch 100/121 ok | docs=1428.0 chunks=30236.0 | 227s elapsed
batch 101/121 ok | docs=1442.0 chunks=31133.0 | 233s elapsed
batch 102/121 ok | docs=1468.0 chunks=31447.0 | 237s elapsed
batch 103/121 ok | docs=1496.0 chunks=31710.0 | 240s elapsed
batch 104/121 ok | docs=1532.0 chunks=32017.0 | 245s elapsed
batch 105/121 ok | docs=1554.0 chunks=32246.0 | 247s elapsed
batch 106/121 ok | docs=1556.0 chunks=32268.0 | 248s elapsed
batch 107/121 ok | docs=1557.0 chunks=34713.0 | 251s elapsed
batch 108/121 ok | docs=1573.0 chunks=34905.0 | 253s elapsed
batch 109/121 ok | docs=1574.0 chunks=35178.0 | 254s elapsed
batch 110/121 ok | docs=1599.0 chunks=35418.0 | 257s elapsed
batch 111/121 ok | docs=1609.0 chunks=35629.0 | 259s elapsed
batch 112/121 ok | docs=1637.0 chunks=35850.0 | 263s elapsed
batch 113/121 ok | docs=1669.0 chunks=36085.0 | 266s elapsed
batch 114/121 ok | docs=1700.0 chunks=36242.0 | 270s elapsed
batch 115/121 ok | docs=1701.0 chunks=37021.0 | 271s elapsed
batch 116/121 ok | docs=1712.0 chunks=37341.0 | 274s elapsed
batch 117/121 ok | docs=1724.0 chunks=37601.0 | 276s elapsed
batch 118/121 ok | docs=1738.0 chunks=37880.0 | 278s elapsed
batch 119/121 ok | docs=1758.0 chunks=38208.0 | 280s elapsed
batch 120/121 ok | docs=1760.0 chunks=38317.0 | 281s elapsed
batch 121/121 ok | docs=1765.0 chunks=38561.0 | 282s elapsed
DONE. total documents=1765.0 chunks=38561.0 elapsed=283s
